premise	hypothesis	premise_atomic	hypothesis_atomic	labels
ŠTIRINAJSTI ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST JE TISTI DEL PLAČE, KI GA LAHKO PREJME JAVNI USLUŽBENEC IN FUNKCIONAR ZA NADPOVPREČNO USPEŠNO OPRAVLJENO DELO V DOLOČENEM OBDOBJU.	14. ODSTAVEK: ČE ZAPOSLENI V JAVNI UPRAVI IZKAZUJE NADPOVPREČNI USPEH PRI DELU V DOLOČENI ČASOVNI DOBI, PREJME POLEG PLAČE ŠE DODATEK ZA USPEŠNOST PRI DELU.	PersonX trži in prodaja izdelek ali storitev porabijo del svojega zaslužka, ki ga dobijo z delom.	ZAPOSLENI izpolnjuje cilje PLAČE je fizično utrujen, če je izpolnjevanje ciljev PersonY vključevalo kakršno koli fizično aktivnost.	entailment
ŠTIRINAJSTI ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST JE TISTI DEL PLAČE, KI GA LAHKO PREJME JAVNI USLUŽBENEC IN FUNKCIONAR ZA NADPOVPREČNO USPEŠNO OPRAVLJENO DELO V DOLOČENEM OBDOBJU.	14. ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST SE NE PODELJUJE DELAVCEM V JAVNI UPRAVI, TUDI ČE SO PRI SVOJEM DELU USPEŠNEJŠI OD OSTALIH.	PersonX trži in prodaja izdelek ali storitev porabijo del svojega zaslužka, ki ga dobijo z delom.	DEL nikoli ni sledila biti bolj podoben DEL in ne delati le tega, kar delajo vsi drugi.	contradiction
Glas se ji je zlomil in v očeh so jo zapekle solze.	Ne vem, kaj sem takega rekel, da je postala tako žalostna.	solze joka pred očeh solze mu prekrijejo oči.	osebek ne ve, kaj je bilo narobe meni, da je osebek neumna.	neutral
Glas se ji je zlomil in v očeh so jo zapekle solze.	Od veselja se je komaj zadrževala, njen glas pa je bil barvit in srečen.	solze joka pred očeh solze mu prekrijejo oči.	glas je všeč zvok lastnega glasu varen, srečen.	contradiction
Pri materialnopravni presoji izpodbijane sodbe pa je revizijsko sodišče vezano na dejansko stanje, kot ga je ugotovilo sodišče prve stopnje in pri svoji odločitvi upoštevalo sodišče druge stopnje.	Pri presojanju po načelih materialnega prava, ali se sodba ustrezno izpodbija, je sodna oblast, ki odloča o reviziji, primorana upoštevati zgolj stanje ugotovljeno s strani sodišč prve in prej druge stopnje.	sodišče je odvisna od okoliščin se odločijo glede na dejstva, ki jih imajo o situaciji.	oblast ponovno preuči odločitev strani upoštevati mnenje prvič	entailment
Pri materialnopravni presoji izpodbijane sodbe pa je revizijsko sodišče vezano na dejansko stanje, kot ga je ugotovilo sodišče prve stopnje in pri svoji odločitvi upoštevalo sodišče druge stopnje.	V kolikor je vložena vloga proti že odločeni sodbi, revizija presoja materialnopravno glede na stanje, ki ga je ugotovilo drugostopenjsko sodišče, in ne upošteva spoznanj prvostopenjskega sodišča.	sodišče je odvisna od okoliščin se odločijo glede na dejstva, ki jih imajo o situaciji.	PersonX se vrne v preteklost preveriti, ali bi se stvari v sedanjosti spremenile, če bi spremenili dogodek v preteklosti.	contradiction
Pri materialnopravni presoji izpodbijane sodbe pa je revizijsko sodišče vezano na dejansko stanje, kot ga je ugotovilo sodišče prve stopnje in pri svoji odločitvi upoštevalo sodišče druge stopnje.	Na vsakršen razplet sodbe se je moč pritožiti, kar sproži postopek revizijske preiskave, ki natančno presoja ustreznost sojenja glede na ugotovitve in spoznanja sodišč različnih stopenj.	sodišče je odvisna od okoliščin se odločijo glede na dejstva, ki jih imajo o situaciji.	kar sodi vsakega sodba glede na	neutral
Proučuje vlogo fotografije pri razširjanju negativnih predstav in stereotipov o Romih.	Študira vlogo imeli fotografskih posnetkov pri širitvi negative in stereotipnega dojemanja Romov.	osebek se odpravi na smučanje objavljanje fotografij v družabnih medijih.	osebek rada gleda filme romantični	entailment
Proučuje vlogo fotografije pri razširjanju negativnih predstav in stereotipov o Romih.	Zanima se za pozitivni učinek, ki ga je osnovalo foto gradivo o pripadnikih romske narodnosti.	osebek se odpravi na smučanje objavljanje fotografij v družabnih medijih.	gradivo se dobro spominja srečen spomin na rojstvo svojih sinov	contradiction
Proučuje vlogo fotografije pri razširjanju negativnih predstav in stereotipov o Romih.	Začel je študijem vpliva raznega gradiva na dojemanje in predstave o Romih pri drugih nacijah.	osebek se odpravi na smučanje objavljanje fotografij v družabnih medijih.	osebek vpliva na ljudi da bi izvedeli več o drugih perspektivah	neutral
